"soort","aanwezigheid","lengtegraad","breedtegraad","provincie"
"Ichthyosaura alpestris",1,5.6,52.55,"Flevoland"
"Ichthyosaura alpestris",1,5.6,52.55,"Flevoland"
"Ichthyosaura alpestris",1,5.6,52.55,"Flevoland"
"Ichthyosaura alpestris",1,5.6,52.55,"Flevoland"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.5,51.3,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.5,51.3,"Noord-Brabant"
"Ichthyosaura alpestris",1,3.6,51.45,"Zeeland"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.8,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.05,52.05,"Gelderland"
"Ichthyosaura alpestris",1,5.45,52.5,"Flevoland"
"Ichthyosaura alpestris",1,5.9,50.85,"Limburg"
"Ichthyosaura alpestris",1,4.3,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,6,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.35,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.75,50.85,"Limburg"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.95,51.55,"Noord-Brabant"
